NFT Name,Count,%Area,Perimeter,Major,Minor,Angle,Circularity,Integrated density,Skewness,Kurtosis
Fingerprint #1673,23,10.17590,654.04984,128.80721,25.02773,118.83151,0.32453,1041617.73913,-1.78048,2.51623
Fingerprint #1674,16,10.15870,947.93094,135.06431,43.07105,81.90869,0.18867,1492341.43750,-2.07776,3.30472
Fingerprint #1675,20,10.24880,731.97106,114.85113,30.08294,117.28821,0.35955,1207573.85000,-1.62056,2.17335
Fingerprint #1676,11,10.20880,1329.46314,130.63708,56.59663,83.62999,0.32944,2183370.72727,-1.89780,3.15556
Fingerprint #1677,16,10.19730,909.18284,131.97645,38.83957,60.35867,0.20319,1499889.81250,-2.02875,3.24924
Fingerprint #1678,20,10.19180,726.90989,136.42164,35.93582,110.83956,0.21136,1200567.60000,-2.15348,3.64488
Fingerprint #1679,12,10.15290,1283.75863,125.69621,49.75081,115.52856,0.27595,1990637.25000,-2.03330,3.38836
Fingerprint #1680,16,10.23030,941.27870,87.04017,36.63283,93.04349,0.36686,1506381.93750,-1.45640,1.60919
Fingerprint #1681,19,10.18240,812.32965,155.43563,31.96464,126.12587,0.23826,1261170.31579,-2.19113,3.70714
Fingerprint #1682,16,10.20200,868.94281,140.17943,41.66703,113.87918,0.22599,1501380.43750,-2.23754,3.91287
Fingerprint #1683,14,10.24470,1048.89863,122.68145,38.35137,118.18806,0.35172,1723145.35714,-1.72590,2.59273
Fingerprint #1684,16,10.19390,813.81128,151.22383,43.10583,124.66835,0.22915,1498383.93750,-2.30708,4.15125
Fingerprint #1685,14,10.22000,1100.55517,110.80071,37.03972,118.76555,0.30716,1717911.28571,-1.83678,2.42670
Fingerprint #1686,13,10.17840,1213.74010,141.13005,45.59174,94.65661,0.26574,1843070.84615,-1.94934,3.20527
Fingerprint #1687,13,10.22390,1223.54460,162.36651,46.13368,136.61590,0.16039,1851798.07692,-2.23005,3.91178
Fingerprint #1688,11,10.21880,1248.55402,168.80516,50.10889,136.40186,0.15029,2189310.09091,-2.17652,3.94092
Fingerprint #1689,11,10.23790,1249.50345,157.80818,50.37185,92.65286,0.17214,2189688.81818,-1.72469,2.83583
Fingerprint #1690,21,10.11780,689.45413,116.75243,34.44087,95.78867,0.27865,1132672.14286,-2.12219,3.37727
Fingerprint #1691,18,10.10340,870.87738,154.47939,36.99009,111.01210,0.22052,1319508.61111,-2.14895,3.80121
Fingerprint #1692,17,10.16300,866.42126,103.14025,39.13747,102.05798,0.32138,1403872.35294,-1.55233,2.08764
Fingerprint #1693,20,10.19780,682.79064,107.93551,32.85106,102.71060,0.34389,1199491.50000,-1.97566,2.89295
Fingerprint #1694,16,10.22950,944.96389,135.48115,41.54517,108.08234,0.25308,1504738.43750,-1.93772,3.09494
Fingerprint #1695,21,10.15640,631.11105,122.86652,31.35726,113.85100,0.32884,1138761.85714,-2.14372,3.58496
Fingerprint #1696,18,10.16820,776.40015,107.20737,38.13336,99.23050,0.24996,1329146.61111,-1.94001,2.90880
Fingerprint #1697,23,10.10590,669.75903,118.57608,30.57233,91.79816,0.30871,1032812.43478,-1.90970,3.01196
Fingerprint #1698,19,10.14670,839.08010,134.06177,33.43609,97.35946,0.25980,1256431.94737,-1.94667,3.08828
Fingerprint #1699,15,10.24220,940.92019,110.26352,39.79385,98.23096,0.34137,1608743.66667,-1.86704,2.75151
Fingerprint #1700,16,10.21600,954.39758,132.43564,40.59890,127.58738,0.24031,1502326.18750,-2.34969,4.33317
Fingerprint #1701,21,10.11880,721.43893,142.79512,31.74485,121.64101,0.25818,1133085.09524,-2.16009,3.77492
Fingerprint #1702,23,10.09720,593.83287,116.64939,29.88150,114.81720,0.32009,1032789.78261,-1.84377,2.89582
Fingerprint #1703,21,10.15810,706.25466,133.09221,35.56883,129.30112,0.21394,1139211.57143,-2.06289,3.49384
Fingerprint #1704,22,10.10390,706.75197,116.48885,31.36419,110.19148,0.27977,1079933.18182,-1.95305,3.14301
